sa4_sk,sa4
1,Adelaide - Central and Hills
2,Adelaide - North
3,Adelaide - South
4,Adelaide - West
5,Australian Capital Territory
6,Ballarat
7,Barossa - Yorke - Mid North
8,Bendigo
9,Brisbane - East
10,Brisbane - North
11,Brisbane - South
12,Brisbane - West
13,Brisbane Inner City
14,Bunbury
15,Cairns
16,Capital Region
17,Central Coast
18,Central Queensland
19,Central West
20,Coffs Harbour - Grafton
21,Darling Downs - Maranoa
22,Darwin
23,Far West and Orana
24,Geelong
25,Gold Coast
26,Hobart
27,Hume
28,Hunter Valley exc Newcastle
29,Illawarra
30,Ipswich
31,Latrobe - Gippsland
32,Launceston and North East
33,Logan - Beaudesert
34,Mackay - Isaac - Whitsunday
35,Mandurah
36,Melbourne - Inner
37,Melbourne - Inner East
38,Melbourne - Inner South
39,Melbourne - North East
40,Melbourne - North West
41,Melbourne - Outer East
42,Melbourne - South East
43,Melbourne - West
44,Mid North Coast
45,Moreton Bay - North
46,Moreton Bay - South
47,Mornington Peninsula
48,Murray
49,New England and North West
50,Newcastle and Lake Macquarie
51,North West
52,Northern Territory - Outback
53,Perth - Inner
54,Perth - North East
55,Perth - North West
56,Perth - South East
57,Perth - South West
58,Queensland - Outback
59,Richmond - Tweed
60,Riverina
61,Shepparton
62,South Australia - Outback
63,South Australia - South East
64,South East
65,Southern Highlands and Shoalhaven
66,Sunshine Coast
67,Sydney - Baulkham Hills and Hawkesbury
68,Sydney - Blacktown
69,Sydney - City and Inner South
70,Sydney - Eastern Suburbs
71,Sydney - Inner South West
72,Sydney - Inner West
73,Sydney - North Sydney and Hornsby
74,Sydney - Northern Beaches
75,Sydney - Outer South West
76,Sydney - Outer West and Blue Mountains
77,Sydney - Parramatta
78,Sydney - Ryde
79,Sydney - South West
80,Sydney - Sutherland
81,Toowoomba
82,Townsville
83,Warrnambool and South West
84,West and North West
85,Western Australia - Outback (North)
86,Western Australia - Outback (South)
87,Western Australia - Wheat Belt
88,Wide Bay
